name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Alberta Finance,,albertafinance.net,+1 403-399-0589,188,5.0,62.6573279,-169.81736
Alberta Business Loans Inc.,"9360 34 Ave NW, Edmonton, AB T6E 5X8, Canada",albertabusinessloans.com,+1 780-469-3669,10,4.6,62.6573279,-169.81736
Sparta Finance,,spartafinance.ca,+1 833-477-2782,455,4.8,62.6573279,-169.81736
Summit Lending | Business Loans Alberta,,summitlending.ca,+1 587-905-8068,,,62.6573279,-169.81736
Alberta 1 Auto Loans,"5555 Strathcona Hill SW #6a, Calgary, AB T3H 1S2, Canada",alberta1autoloans.ca,+1 587-329-9239,133,4.6,62.6573279,-169.81736
Pioneer Financial Services,"4231 109 Ave NE #1010, Calgary, AB T3N 2B1, Canada",pioneerfinancialservices.ca,+1 403-874-0018,51,4.8,62.6573279,-169.81736
Alberta Car Loans,"4720 1 St SE, Calgary, AB T2G 2L3, Canada",albertacarloans.ca,+1 587-288-2428,,,62.6573279,-169.81736
Riviera Finance,"1925 18 Ave NE, Calgary, AB T2E 7T8, Canada",rivierafinance.com,+1 403-984-4965,13,5.0,62.6573279,-169.81736
Forget it Credit,,,+1 888-242-4273,10,4.5,62.6573279,-169.81736
Park Credit,"983 Fir St, Sherwood Park, AB T8A 4N5, Canada",parkcredit.ca,+1 587-860-1811,13,4.0,62.6573279,-169.81736
Edmonton Auto Loans,"10208 82 Ave NW #101, Edmonton, AB T6E 1Z7, Canada",edmontonautoloans.com,+1 855-227-1669,164,4.9,62.6573279,-169.81736
Ride Approval,,,+1 587-487-8847,1,5.0,62.6573279,-169.81736
C.A.I Financial Edmonton,"2607 Ellwood Dr SW #123, Edmonton, AB T6X 0P7, Canada",caifinancial.ca,+1 780-458-2226,9,3.9,62.6573279,-169.81736
AFC (Automotive Finance Corp.) Calgary,"1621 Veterans Blvd, Airdrie, AB T4A 2G6, Canada",autofinance.com,+1 403-948-3205,,,62.6573279,-169.81736
Capital Business Solutions,"Scotia 1, 10060 Jasper Ave suite 2020, Edmonton, AB T5J 3R8, Canada",cbscorpfinance.ca,+1 780-932-9693,,,62.6573279,-169.81736
Capital Growth Financial Corporation,"2007 50 Ave SW, Calgary, AB T2T 2W4, Canada",capitalgrowth.ca,+1 888-818-9621,,,62.6573279,-169.81736
Canadian Equipment Finance,"12233 154 St, Edmonton, AB T5V 1J3, Canada",cefl.ca,+1 780-482-5824,3,5.0,62.6573279,-169.81736
Alberta Truck Lease and Financing,"4510 162A Ave, Edmonton, AB T5Y 3M5, Canada",albertatrucklease.com,+1 780-886-5617,23,4.6,62.6573279,-169.81736
AFC (Automotive Finance Corp.) Edmonton,"1701 9 St, Nisku, AB T9E 8M8, Canada",autofinance.com,+1 780-955-4326,,,62.6573279,-169.81736
Cashco Financial,"9505 118 Ave NW, Edmonton, AB T5G 0N8, Canada",cashcofinancial.com,+1 780-809-8117,22,3.8,62.6573279,-169.81736
Muevmnt Financial Ltd.,"511 Mistatim Way NW #203, Edmonton, AB T6V 0M9, Canada",muevmnt.ca,+1 587-855-7668,11,5.0,62.6573279,-169.81736
Alberta Wealth Management Inc,"1350 Potter Greens Dr NW, Edmonton, AB T5T 6A3, Canada",wealthyalberta.com,+1 587-800-4515,,,62.6573279,-169.81736
BDC - Business Development Bank of Canada,"548 Laura Ave Suite 100, Office #2, Red Deer, AB T4E 0A5, Canada",bdc.ca,+1 888-463-6232,,,62.6573279,-169.81736
Ascendant Financial Inc: Financial advisor - Calgary,,ascendantfinancial.ca,+1 825-251-2444,130,4.9,62.6573279,-169.81736
Auto Loan Alberta,"7800 Macleod Trail, Calgary, AB T2H 0L9, Canada",autoloanalberta.com,+1 587-600-2886,,,62.6573279,-169.81736
